Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1747443,27-Jul-20,Arizona,Tucson,25 W Calle Concordia,1,0,N/A
1747425,26-Jul-20,Tennessee,Nashville,500 block of Charles E Davis Blvd,1,0,N/A
1748086,26-Jul-20,Ohio,Grand Rapids,17000 block of Wapakoneta Rd,1,0,N/A
1746886,26-Jul-20,California,Los Angeles,Hollywood Blvd and N Highland Ave,1,1,N/A
1746495,25-Jul-20,Florida,Largo,71000 Ulmerton Rd,1,0,N/A
1746308,25-Jul-20,South Carolina,Graniteville,N/A,1,0,N/A
1744092,23-Jul-20,Nebraska,Lincoln,A St and S 23rd St,1,0,N/A
1743207,22-Jul-20,South Carolina,Columbia,80 Brighton Hill Rd,1,0,N/A
1742862,22-Jul-20,Colorado,Fountain,6800 block of Kasson Dr,1,0,N/A
1742859,22-Jul-20,Michigan,Warren,21516 Dequindre Rd,1,0,N/A
1742026,21-Jul-20,Wisconsin,Milwaukee,6600 block of N 105th St,1,0,N/A
1743086,21-Jul-20,Texas,Longview,1500 block of W Fairmont St,1,0,N/A
1742213,21-Jul-20,Illinois,Chicago,7100 block of S King Dr,1,0,N/A
1740578,20-Jul-20,Texas,Arlington,4100 block of Maple Springs Dr,1,1,N/A
1739774,19-Jul-20,Texas,Austin,500 W Canyon Ridge Dr,1,0,N/A
1740287,19-Jul-20,Georgia,Lagrange,100 block of Meadowland Trail,1,0,N/A
1740188,19-Jul-20,Florida,Delray Beach,300 Block of SW 10th Ave,1,0,N/A
1741056,18-Jul-20,North Carolina,High Point,600 block of Scientific St,1,0,N/A
1738740,18-Jul-20,South Carolina,North Charleston,4755 Saul White Blvd,1,2,N/A
1739313,18-Jul-20,Louisiana,Baton Rouge,5800 block of W Rio Dr,1,0,N/A
1737194,16-Jul-20,Colorado,Commerce City,7800 block of Jasmine Dr,1,0,N/A
1737445,16-Jul-20,Texas,San Antonio,11000 block of Lands Pond,1,0,N/A
1736410,15-Jul-20,Alabama,Birmingham,1400 block of 24th St N,1,0,N/A
1736040,15-Jul-20,Missouri,Saint Louis,5000 block of S Broadway,1,0,N/A
1735515,14-Jul-20,Georgia,Rochelle,151 C Alley Ave,1,0,N/A
1735198,14-Jul-20,Virginia,Richmond,8300 block of Hull Street Rd,1,0,N/A
1734950,13-Jul-20,Colorado,Aurora,15400 E Evans Ave,1,0,N/A
1733402,13-Jul-20,North Carolina,Winston Salem (Winston-salem),1800 block of Gray Ave,1,0,N/A
1734128,13-Jul-20,Washington,Bothell,9900 block of NE 180th St,1,1,N/A
1733173,13-Jul-20,Oklahoma,Oklahoma City (Del City),SE 44th St and S Bryant Ave,1,0,N/A
1734779,12-Jul-20,Illinois,Tilton,1525 Georgetown Rd,1,0,N/A
1731769,11-Jul-20,Kentucky,Louisville,2000 block of S 28th St,1,0,N/A
1731916,11-Jul-20,Michigan,Detroit,11300 block of Cheyenne St,1,0,N/A
1733626,11-Jul-20,Tennessee,Bristol,Meadow View Rd,1,0,N/A
1730863,9-Jul-20,Utah,Saint George,600 N and 2450 E,1,0,N/A
1737797,8-Jul-20,New Mexico,Roswell,N/A,1,0,N/A
1730696,8-Jul-20,Texas,Houston,1620 Enclave Pkwy,1,0,N/A
1727368,6-Jul-20,Texas,Fort Worth (Everman),1725 Everman Pkwy,1,0,N/A
1727313,6-Jul-20,Michigan,Flint,1700 block of Dort Hwy,1,0,N/A
