Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1747052,26-Jul-20,Texas,Dallas,100 block of N Gail St,0,1,N/A
1748001,26-Jul-20,Alabama,Mobile,2000 block of Gimon Cir N,0,1,N/A
1745488,25-Jul-20,Kentucky,Louisville,S 12th St and W Jefferson St,0,3,N/A
1747597,25-Jul-20,Utah,Hurricane,N/A,0,2,N/A
1746268,25-Jul-20,Illinois,Chicago,9700 block of S Ave J,0,1,N/A
1748019,25-Jul-20,Arkansas,Little Rock,N/A,0,1,N/A
1744974,24-Jul-20,Indiana,Indianapolis,3360 N Meridian St,0,1,N/A
1744543,24-Jul-20,Virginia,Henrico,6200 block of Shadowbrook Dr,0,1,N/A
1744517,23-Jul-20,Maine,Caribou,Main St,0,1,N/A
1746450,23-Jul-20,Florida,West Palm Beach,500 block of Conniston Rd,0,1,N/A
1743994,22-Jul-20,Indiana,Gary,4704 Roosevelt St,0,1,N/A
1743640,22-Jul-20,Tennessee,Hendersonville,Cole Ct,0,2,N/A
1742864,22-Jul-20,Texas,Cypress,19700 block of Ridge Falls Ct,0,1,N/A
1743338,22-Jul-20,Idaho,Lewiston,1300 block of 11th Ave,0,1,N/A
1742508,22-Jul-20,Oklahoma,Oklahoma City,700 S MacArthur Blvd,0,1,N/A
1742846,22-Jul-20,Idaho,Idaho Falls (Ammon),2500 block of Eagle Dr,0,1,N/A
1747269,21-Jul-20,Pennsylvania,Barnesville,Burma Rd,0,1,N/A
1741838,21-Jul-20,Illinois,Chicago,1018 W 79th St,0,15,N/A
1740578,20-Jul-20,Texas,Arlington,4100 block of Maple Springs Dr,1,1,N/A
1741234,20-Jul-20,Maryland,Glen Burnie,1900 block of Summer Rain Ct,0,1,N/A
1740818,19-Jul-20,Missouri,Palmyra,600 block of Suter St,0,1,N/A
1740702,19-Jul-20,Arkansas,Little Rock,1401 S Shackleford Rd,0,1,N/A
1740729,19-Jul-20,Colorado,Aurora,1600 block of S Blackhawk Way,0,2,N/A
1740342,19-Jul-20,Illinois,Rantoul,1300 block of Abram Dr,0,1,N/A
1741261,19-Jul-20,Ohio,Cleveland,W 93rd St and Detroit Ave,0,1,N/A
1740271,19-Jul-20,Illinois,Chicago,5000 block of S Wood St,0,1,N/A
1740977,19-Jul-20,Pennsylvania,Hunlock Creek,Pall Rd and Niemchik Rd,0,1,N/A
1740041,19-Jul-20,Texas,Tomball,23400 block of Bettywood Ln,1,1,N/A
1739316,18-Jul-20,Michigan,Detroit,14500 block of Whitcomb,0,1,N/A
1739735,18-Jul-20,Michigan,Flint,600 block of Josephine St,0,1,N/A
1739146,18-Jul-20,Ohio,Cleveland,1300 block of W 93rd St,0,1,N/A
1742482,18-Jul-20,New Mexico,Artesia,2100 block of N Oak St,0,1,N/A
1741264,18-Jul-20,North Carolina,Indian Trail,N/A,0,1,N/A
1738740,18-Jul-20,South Carolina,North Charleston,4755 Saul White Blvd,1,2,N/A
1737894,17-Jul-20,Illinois,Chicago,100 block of W Maple St,0,1,N/A
1738812,17-Jul-20,California,Tulare,E Prosperity Ave and Hillman St,0,1,N/A
1738668,17-Jul-20,Indiana,Indianapolis,N/A,0,1,N/A
1737603,17-Jul-20,Texas,Dallas,4900 block of Colonial Ave,0,1,N/A
1738379,17-Jul-20,Texas,Wichita Falls,7475 Central Fwy N,0,1,N/A
1737437,16-Jul-20,Michigan,Dearborn,7951 Chase Rd,1,1,N/A
1737066,16-Jul-20,Kentucky,Bowling Green,150 Evon Way,0,1,N/A
1737281,16-Jul-20,Illinois,Chicago,1365 N Hudson Ave,0,3,N/A
1737649,16-Jul-20,Illinois,Chicago,1500 block of S Lawndale Ave,0,1,N/A
1737502,16-Jul-20,Louisiana,Shreveport,1601 N Market St,0,1,N/A
1737390,15-Jul-20,Texas,Houston,6410 Del Rio St,0,1,N/A
1735943,15-Jul-20,Florida,Boynton Beach,NE Second St,0,2,N/A
1736358,15-Jul-20,Minnesota,Minneapolis (Brooklyn Park),6321 Zane Ave N,0,1,N/A
1736698,15-Jul-20,Arizona,Tucson,800 block of Glenn St,0,1,N/A
1736532,15-Jul-20,Pennsylvania,Philadelphia,4500 block of N 17th St,0,2,N/A
1736492,15-Jul-20,Washington,Spokane,N Stone St,0,1,N/A
1736789,15-Jul-20,Ohio,Toledo,800 block of McKinley Ave,0,1,N/A
1735415,14-Jul-20,Virginia,Richmond,910 N 31st St,1,1,N/A
1734907,14-Jul-20,Indiana,Brownsburg,267 E 56th St,2,1,N/A
1735637,14-Jul-20,Florida,Homestead,990 N Homestead Blvd,0,2,N/A
1735659,14-Jul-20,Illinois,Chicago,1135 S Michigan Ave,0,1,N/A
1735608,14-Jul-20,Wisconsin,Milwaukee,6th St and W Garfield Ave,0,1,N/A
1735305,14-Jul-20,Kansas,Wichita,2000 block of S Elpyco St,0,1,N/A
1735620,14-Jul-20,Texas,Corpus Christi,6000 block of Hugo Dr,0,1,N/A
1733614,13-Jul-20,Texas,San Antonio,1100 block of W Russell Pl,0,1,N/A
1733765,12-Jul-20,Kentucky,Louisville (Saint Matthews),902 Markham Ln,0,1,N/A
1737333,12-Jul-20,Kentucky,Lancaster,Oak Dr,0,1,N/A
1733607,12-Jul-20,Pennsylvania,Pottsville,Peach Mountain Rd,0,1,N/A
1735783,12-Jul-20,Arizona,San Jose,E San Jose Rd,0,1,N/A
1733338,12-Jul-20,Maryland,Windsor Mill,3500 block of Derby Shire Cir,0,1,N/A
1733529,11-Jul-20,Iowa,Mason City,22097 Fallspark Dr,0,1,N/A
1732021,11-Jul-20,Arizona,Sahuarita,16000 block of S Delgado Rd,0,2,N/A
1731913,11-Jul-20,Alabama,Tuscaloosa,1701 McFarland Blvd E,0,2,N/A
1731648,11-Jul-20,Texas,Dallas,100 block of Continental Ave,1,1,N/A
1731000,10-Jul-20,New Mexico,Las Cruces,3629 Santa Sabina Ave,0,1,N/A
1731233,10-Jul-20,Texas,San Antonio,12000 block of Bernhardt Rd,0,1,N/A
1730918,10-Jul-20,South Carolina,Anderson,4435 SC-24,0,1,N/A
1731617,10-Jul-20,Illinois,Schaumburg,1900 block of W Golf Rd,0,1,N/A
1733220,10-Jul-20,Florida,Gainesville,3989 Plaza Blvd,0,1,N/A
1731117,9-Jul-20,Texas,Houston,5355 De Soto St,0,1,N/A
1738071,9-Jul-20,Ohio,Cleveland (Cleveland Heights),Severance Cir,0,1,N/A
1730660,9-Jul-20,Illinois,Chicago,2900 block of East 83rd St,0,1,N/A
1730363,9-Jul-20,Ohio,Warren,2200 block of Vernon Ave NW,0,0,N/A
1733585,8-Jul-20,Michigan,Clarkston,5625 Water Tower Place,0,1,N/A
1729314,8-Jul-20,New Mexico,Albuquerque,9930 Lomas Blvd NE,0,1,N/A
1730724,8-Jul-20,Texas,Houston,1822 Barker Cypress Rd,0,1,N/A
1730380,8-Jul-20,Washington,Bremerton,4900 Seabeck Hwy NW,0,1,N/A
1729074,8-Jul-20,Ohio,Columbus,McGuffey Rd and Hudson St,0,1,N/A
1728260,7-Jul-20,Indiana,Gary,4100 block of Cleveland St,0,1,N/A
1728335,7-Jul-20,Texas,San Antonio,100 block of Ballard Dr,0,1,N/A
1729208,7-Jul-20,California,Modesto,Danube Ct,0,1,N/A
1728279,7-Jul-20,California,Oakland,700 block of 105th Ave,0,1,N/A
1728209,6-Jul-20,North Carolina,Beulaville,156 Cedar Ln Dr,0,1,N/A
1726541,6-Jul-20,Michigan,Redford Charter Township,26500 block of Plymouth Rd,0,1,N/A
1726962,6-Jul-20,Louisiana,Shreveport,400 block of 76th St,0,1,N/A
1728083,6-Jul-20,Georgia,Savannah,12300 Apache Ave,0,1,N/A
1727625,6-Jul-20,Wisconsin,Lomira,W192 WI-67,0,1,N/A
1728027,6-Jul-20,Wisconsin,Fond Du Lac,N5820 Co Rd D,0,1,N/A
1729544,6-Jul-20,New Jersey,Jackson,W Connecticut Concourse,0,1,N/A
1725879,5-Jul-20,Louisiana,Shreveport,2800 block of Westover St,0,1,N/A
1725391,5-Jul-20,Texas,Houston,9601 W Montgomery Rd,0,1,N/A
1726663,5-Jul-20,Georgia,Atlanta,1192 Pryor Rd,1,2,N/A
1726446,5-Jul-20,Texas,Houston,Service Rd and Holcombe Blvd,0,4,N/A
1727781,5-Jul-20,Florida,Lake Worth,S G St and Ninth Ave S,0,1,N/A
1727669,5-Jul-20,New Jersey,Newark,Lexington St,0,1,N/A
1732057,5-Jul-20,Ohio,Westlake,30100 Clemens Rd,0,1,N/A
1726889,5-Jul-20,Tennessee,Springfield,1501 School St,0,1,N/A
1725094,4-Jul-20,Illinois,Chicago,2800 block of S Keeler,1,2,N/A
1728111,4-Jul-20,South Carolina,Hilton Head Island,Wild Horse Rd,0,1,N/A
1733276,4-Jul-20,Florida,Lecanto,W Rolling View Place and W Southern St,0,1,N/A
1733278,4-Jul-20,Florida,Homosassa Springs,W Rolling View Pl,0,1,N/A
